2023-11-16 17:21:09 - Creating converter from 3 to 5
2023-11-16 17:21:22 - (UNIFORM, scott, 10000, 99) - Time: 0.00172 s - Est.: 0.261 nats
2023-11-16 17:21:23 - (UNIFORM, scott, 10000, 100) - Time: 0.00170 s - Est.: 0.269 nats
2023-11-16 17:21:23 - (UNIFORM, scott, 10000, 101) - Time: 0.00176 s - Est.: 0.268 nats
2023-11-16 17:21:23 - (UNIFORM, scott, 10000, 102) - Time: 0.00174 s - Est.: 0.272 nats
2023-11-16 17:21:23 - (UNIFORM, scott, 10000, 103) - Time: 0.00173 s - Est.: 0.263 nats
2023-11-16 17:21:23 - (UNIFORM, scott, 10000, 104) - Time: 0.00172 s - Est.: 0.269 nats
2023-11-16 17:21:23 - (UNIFORM, scott, 10000, 105) - Time: 0.00172 s - Est.: 0.263 nats
2023-11-16 17:21:23 - (UNIFORM, scott, 10000, 106) - Time: 0.00173 s - Est.: 0.262 nats
2023-11-16 17:21:24 - (UNIFORM, scott, 10000, 107) - Time: 0.00172 s - Est.: 0.269 nats
2023-11-16 17:21:24 - (UNIFORM, scott, 10000, 108) - Time: 0.00175 s - Est.: 0.266 nats
2023-11-16 17:21:24 - (UNIFORM, scott, 10000, 109) - Time: 0.00172 s - Est.: 0.266 nats
2023-11-16 17:21:24 - (UNIFORM, scott, 10000, 110) - Time: 0.00173 s - Est.: 0.269 nats
2023-11-16 17:21:24 - (UNIFORM, scott, 10000, 111) - Time: 0.00178 s - Est.: 0.266 nats
2023-11-16 17:21:24 - (UNIFORM, scott, 10000, 112) - Time: 0.00174 s - Est.: 0.269 nats
2023-11-16 17:21:24 - (UNIFORM, scott, 10000, 113) - Time: 0.00174 s - Est.: 0.273 nats
2023-11-16 17:21:24 - (UNIFORM, scott, 10000, 114) - Time: 0.00173 s - Est.: 0.276 nats
2023-11-16 17:21:25 - (UNIFORM, scott, 10000, 115) - Time: 0.00172 s - Est.: 0.261 nats
2023-11-16 17:21:25 - (UNIFORM, scott, 10000, 116) - Time: 0.00176 s - Est.: 0.266 nats
2023-11-16 17:21:25 - (UNIFORM, scott, 10000, 117) - Time: 0.00174 s - Est.: 0.264 nats
2023-11-16 17:21:25 - (UNIFORM, scott, 10000, 118) - Time: 0.00172 s - Est.: 0.272 nats
2023-11-16 17:21:25 - (UNIFORM, scott, 10000, 119) - Time: 0.00170 s - Est.: 0.270 nats
2023-11-16 17:21:25 - (UNIFORM, scott, 10000, 120) - Time: 0.00174 s - Est.: 0.259 nats
2023-11-16 17:21:25 - (UNIFORM, scott, 10000, 121) - Time: 0.00175 s - Est.: 0.262 nats
